day,mean,min,max,var
1,3.5680111556005e-08,-2.803133977978117e-08,2.463805253483097e-07,pr
2,6.37688009438417e-08,-3.7310476989508125e-08,2.5721334442545096e-07,pr
3,5.510995515223175e-08,-3.2122800376326136e-08,2.5145096525443096e-07,pr
4,3.212165617815232e-08,-2.321863137440389e-08,2.5882511656438897e-07,pr
5,5.1724930177382343e-08,-1.304421398749041e-08,2.4904268472694803e-07,pr
6,2.28070425808289e-08,-2.5138920029108296e-08,2.57661092761987e-07,pr
7,2.451820526958515e-08,-1.9318843562880216e-08,2.1913215594987168e-07,pr
8,3.7635186709863206e-08,-3.161441058699245e-08,2.5844765272445674e-07,pr
9,5.987371621983084e-08,-2.786963404132505e-08,2.470575243425145e-07,pr
10,3.5296866448376975e-08,-3.5497779817640696e-08,2.532827541295678e-07,pr
11,4.5452394637939697e-08,-2.200535998036742e-08,2.368022927606185e-07,pr
12,6.10189481186666e-08,-2.184695241121688e-08,2.329030396963331e-07,pr
13,6.438182036859374e-08,-3.5991066483374825e-08,2.5328532235549267e-07,pr
14,2.797009200904414e-08,-2.762599991720929e-08,2.3848160510568007e-07,pr
15,3.850079697361309e-08,-2.40287575096756e-08,2.447783267236567e-07,pr
16,3.4442014422606015e-08,-4.535450666638857e-08,2.5528513441192195e-07,pr
17,5.068736553510145e-08,-3.17785992713903e-08,2.5563804181706113e-07,pr
18,5.886605711032456e-08,-3.523970891851346e-08,2.4706571762147954e-07,pr
19,5.1301102304003834e-08,-1.2101985134809191e-08,2.53850895714674e-07,pr
20,6.331061634025145e-08,-1.8474268297375884e-08,2.53459430255347e-07,pr
21,4.818579310522095e-08,-2.907482075942765e-08,2.534784296651434e-07,pr
22,4.96770857677985e-08,-2.899867002631156e-08,2.5900351571920236e-07,pr
23,7.617403416478157e-08,-3.623903159899315e-08,2.573463094717802e-07,pr
24,3.33075490199967e-08,-2.2771591102537797e-08,2.5780085097177883e-07,pr
25,4.023089694136858e-08,-3.1949111350843835e-08,2.318521671735673e-07,pr
26,6.357734031215261e-08,-4.990548939430886e-09,2.5514463756040127e-07,pr
27,3.523549993273215e-08,-3.367448748416278e-08,2.5668399121536233e-07,pr
