year,ref,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85
1981,0.0,-4.174999999999997,4.825000000000003,-8.924999999999997,2.825000000000003,-3.674999999999997,15.325000000000003,6.575000000000003,-10.924999999999997,-1.9249999999999972,-19.924999999999997,12.575000000000003,23.325000000000003,-6.424999999999997,2.075000000000003,14.325000000000003,-7.674999999999997,9.325000000000003,9.575000000000003,40.575,24.325000000000003,9.075000000000003,16.075000000000003,-2.924999999999997,30.575000000000003,-5.174999999999997,5.325000000000003,-8.924999999999997,2.325000000000003,-2.424999999999997,16.825000000000003,3.075000000000003,-12.424999999999997,-1.9249999999999972,-20.424999999999997,12.575000000000003,23.575000000000003,-5.924999999999997,1.8250000000000028,14.075000000000003,9.575000000000003,40.575,24.575000000000003,9.075000000000003
1982,0.0,9.825000000000003,-1.4249999999999972,8.075000000000003,5.075000000000003,15.825000000000003,-2.924999999999997,3.075000000000003,-11.174999999999997,0.07500000000000284,8.325000000000003,1.3250000000000028,8.325000000000003,-5.924999999999997,10.075000000000003,-2.924999999999997,2.075000000000003,32.075,15.575000000000003,61.575,1.3250000000000028,17.575000000000003,21.075000000000003,5.575000000000003,31.075000000000003,13.075000000000003,-1.4249999999999972,7.075000000000003,6.325000000000003,15.325000000000003,-2.924999999999997,2.325000000000003,-7.174999999999997,2.575000000000003,6.325000000000003,-0.17499999999999716,9.075000000000003,-5.924999999999997,10.075000000000003,-2.924999999999997,14.825000000000003,59.075,1.3250000000000028,17.575000000000003
1983,0.0,16.075000000000003,-8.174999999999997,7.075000000000003,-1.9249999999999972,-1.4249999999999972,-14.924999999999997,17.325000000000003,-4.674999999999997,6.075000000000003,-2.174999999999997,13.325000000000003,4.075000000000003,36.575,12.575000000000003,12.825000000000003,-3.424999999999997,-2.924999999999997,8.325000000000003,46.575,48.075,34.575,18.075000000000003,-1.6749999999999972,46.075,13.075000000000003,-2.424999999999997,0.8250000000000028,0.32500000000000284,-3.924999999999997,-14.924999999999997,13.825000000000003,-0.42499999999999716,6.075000000000003,-2.924999999999997,13.325000000000003,3.075000000000003,37.075,12.825000000000003,11.575000000000003,8.325000000000003,46.575,48.075,34.575
1984,0.0,5.825000000000003,-12.424999999999997,-8.924999999999997,10.075000000000003,-0.42499999999999716,23.825000000000003,-12.424999999999997,5.075000000000003,-21.924999999999997,1.0750000000000028,12.075000000000003,16.325000000000003,1.0750000000000028,-13.924999999999997,-13.924999999999997,-12.924999999999997,22.825000000000003,-6.924999999999997,62.825,32.075,20.575000000000003,24.075000000000003,12.075000000000003,19.325000000000003,6.575000000000003,-7.924999999999997,-7.924999999999997,10.075000000000003,1.8250000000000028,23.825000000000003,-12.174999999999997,4.575000000000003,-21.924999999999997,-0.42499999999999716,12.075000000000003,16.575000000000003,1.0750000000000028,-13.924999999999997,-13.924999999999997,-7.924999999999997,62.825,33.075,20.575000000000003
1985,0.0,-0.9249999999999972,27.075000000000003,-9.424999999999997,-7.924999999999997,1.0750000000000028,11.325000000000003,10.075000000000003,-4.674999999999997,9.325000000000003,-0.9249999999999972,21.825000000000003,1.5750000000000028,-7.424999999999997,-1.9249999999999972,-1.9249999999999972,-5.924999999999997,11.575000000000003,11.075000000000003,39.325,15.075000000000003,26.575000000000003,24.825000000000003,13.075000000000003,14.075000000000003,-0.6749999999999972,26.575000000000003,-6.924999999999997,-2.924999999999997,0.8250000000000028,12.075000000000003,8.075000000000003,-3.924999999999997,7.075000000000003,-0.9249999999999972,21.825000000000003,2.825000000000003,-4.924999999999997,-1.9249999999999972,-1.9249999999999972,11.075000000000003,39.325,15.075000000000003,26.075000000000003
1986,0.0,17.325000000000003,-0.6749999999999972,-17.174999999999997,11.075000000000003,-4.174999999999997,15.075000000000003,13.075000000000003,-2.924999999999997,-13.674999999999997,-1.6749999999999972,23.325000000000003,-3.674999999999997,36.075,9.325000000000003,13.575000000000003,-7.424999999999997,9.825000000000003,1.0750000000000028,44.825,23.075000000000003,19.075000000000003,34.575,-11.174999999999997,35.325,13.325000000000003,-0.42499999999999716,-8.424999999999997,17.575000000000003,-6.924999999999997,15.075000000000003,13.575000000000003,-2.924999999999997,-12.424999999999997,-2.674999999999997,23.325000000000003,-5.924999999999997,37.575,9.325000000000003,12.825000000000003,1.0750000000000028,44.825,23.075000000000003,17.575000000000003
1987,0.0,17.825000000000003,-6.924999999999997,6.825000000000003,-11.424999999999997,0.07500000000000284,1.0750000000000028,9.075000000000003,9.575000000000003,-2.424999999999997,-6.424999999999997,-8.924999999999997,-0.9249999999999972,-8.424999999999997,-1.6749999999999972,14.825000000000003,2.075000000000003,-4.924999999999997,9.325000000000003,20.325000000000003,24.825000000000003,15.325000000000003,8.075000000000003,3.075000000000003,5.075000000000003,18.075000000000003,-9.424999999999997,9.825000000000003,-10.674999999999997,0.07500000000000284,1.0750000000000028,7.575000000000003,10.575000000000003,-1.6749999999999972,-6.424999999999997,-9.924999999999997,-0.17499999999999716,-7.174999999999997,-1.1749999999999972,14.825000000000003,9.325000000000003,20.325000000000003,25.325000000000003,15.325000000000003
1988,0.0,-6.674999999999997,13.325000000000003,2.575000000000003,-5.424999999999997,8.075000000000003,9.075000000000003,3.325000000000003,-4.174999999999997,10.075000000000003,-1.1749999999999972,-10.174999999999997,-7.424999999999997,4.575000000000003,-5.924999999999997,-3.924999999999997,-8.924999999999997,-4.924999999999997,5.075000000000003,17.825000000000003,-6.424999999999997,18.075000000000003,-1.9249999999999972,6.325000000000003,2.075000000000003,-6.174999999999997,13.075000000000003,2.075000000000003,-3.924999999999997,8.075000000000003,9.075000000000003,4.075000000000003,-4.174999999999997,11.575000000000003,-4.924999999999997,-10.174999999999997,-5.174999999999997,5.825000000000003,-5.924999999999997,-4.924999999999997,5.075000000000003,17.825000000000003,-6.424999999999997,18.075000000000003
1989,0.0,6.575000000000003,-4.924999999999997,-6.424999999999997,1.3250000000000028,-12.924999999999997,-4.924999999999997,15.075000000000003,13.325000000000003,11.075000000000003,-2.924999999999997,10.075000000000003,-15.424999999999997,-6.924999999999997,16.825000000000003,14.075000000000003,1.8250000000000028,5.075000000000003,18.575000000000003,37.825,43.825,23.325000000000003,25.325000000000003,16.075000000000003,25.575000000000003,4.075000000000003,-4.924999999999997,-4.424999999999997,8.825000000000003,-15.424999999999997,-4.924999999999997,13.075000000000003,11.075000000000003,10.575000000000003,-2.924999999999997,10.075000000000003,-16.174999999999997,-6.174999999999997,16.575000000000003,14.075000000000003,18.575000000000003,38.075,44.075,24.325000000000003
1990,0.0,8.825000000000003,-4.174999999999997,9.825000000000003,26.075000000000003,-5.924999999999997,-0.17499999999999716,-3.924999999999997,-8.174999999999997,9.825000000000003,10.075000000000003,27.575000000000003,-19.924999999999997,8.075000000000003,8.575000000000003,8.075000000000003,3.075000000000003,10.825000000000003,21.325000000000003,58.575,14.075000000000003,22.075000000000003,40.325,17.575000000000003,31.075000000000003,4.825000000000003,-2.924999999999997,9.825000000000003,27.075000000000003,-5.674999999999997,-0.17499999999999716,-3.924999999999997,-4.424999999999997,7.075000000000003,10.075000000000003,27.575000000000003,-19.924999999999997,7.325000000000003,7.825000000000003,9.825000000000003,21.325000000000003,58.575,14.075000000000003,22.075000000000003
1991,0.0,4.075000000000003,13.325000000000003,-3.174999999999997,1.0750000000000028,-4.924999999999997,7.825000000000003,-17.674999999999997,-10.924999999999997,-9.674999999999997,-7.924999999999997,10.575000000000003,5.075000000000003,5.325000000000003,-0.42499999999999716,-8.424999999999997,4.075000000000003,-6.924999999999997,17.075000000000003,23.075000000000003,-2.674999999999997,8.075000000000003,9.075000000000003,-1.1749999999999972,27.325000000000003,2.575000000000003,9.575000000000003,-2.924999999999997,1.0750000000000028,-4.674999999999997,4.325000000000003,-17.174999999999997,-10.424999999999997,-10.174999999999997,-7.924999999999997,10.575000000000003,4.575000000000003,4.325000000000003,-0.42499999999999716,-10.174999999999997,17.075000000000003,23.075000000000003,-2.424999999999997,8.075000000000003
1992,0.0,-4.924999999999997,0.07500000000000284,-10.674999999999997,-12.174999999999997,-4.424999999999997,-1.9249999999999972,0.8250000000000028,17.825000000000003,18.075000000000003,3.075000000000003,-7.424999999999997,-8.174999999999997,-6.924999999999997,-3.924999999999997,9.325000000000003,1.5750000000000028,19.575000000000003,12.075000000000003,29.075000000000003,31.575000000000003,36.075,2.075000000000003,7.575000000000003,28.075000000000003,-3.674999999999997,0.07500000000000284,-8.174999999999997,-10.674999999999997,-3.174999999999997,-1.9249999999999972,0.07500000000000284,17.575000000000003,18.325000000000003,3.075000000000003,-8.674999999999997,-8.424999999999997,-3.924999999999997,-3.924999999999997,8.825000000000003,11.075000000000003,29.075000000000003,31.575000000000003,36.075
