year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-1480.0502842769151,-1651.3633010534022,-1907.7152901443783,-1746.2733398541973,-1432.4798318908138,-1737.6003946204187,-1680.3391030553994,-1509.2581851406585,-1546.2416147021759,-1688.404683429921,-1439.1863754904407,-1645.9148066078833,-1913.8377518515108,-1728.8453749126138,-1422.0100820204593,-1720.5693775040272,-1677.5593303756946,-1504.9246260862265,-1539.7499818272413,-1679.3399049096693
1982,0.0,-1587.3752043400082,-1604.3376742854534,-1828.1935706256947,-1660.7204660565512,-1383.8018625498198,-1644.6980555395921,-1524.0906038879143,-1684.6083323663293,-1523.2954949372825,-1664.6516594202822,-1556.4674180754196,-1605.253360073411,-1837.8133550462385,-1641.0583406495184,-1385.0411524567971,-1629.366520280067,-1524.8165383431187,-1682.2790089621462,-1510.1813122241124,-1650.3861398662125
1983,0.0,-1562.6591897477288,-1613.3602589668872,-1716.5620140188096,-1720.1161625668692,-1264.7910927722437,-1657.3993159633383,-1523.322096111688,-1616.1621802128302,-1485.4220671576059,-1665.0601951971198,-1523.0851059129045,-1611.57333060344,-1724.7177122129424,-1699.8910200848363,-1268.9293553158323,-1647.1190821723449,-1523.4388450446168,-1614.5020049407121,-1476.0347730670287,-1639.0655169511651
1984,0.0,-1548.6227926716806,-1670.4038141342726,-1899.6428355987969,-1693.275467079407,-1511.4258365819005,-1762.0778657460164,-1773.3971074306123,-1610.8477287577293,-1510.2066555152187,-1797.4306250814693,-1510.9342621628634,-1665.211184146734,-1909.1394233095784,-1671.1723977645975,-1500.3675440265783,-1747.3489502977714,-1774.7737081312212,-1606.8211124544005,-1496.9073515804375,-1776.4352425688944
1985,0.0,-1503.0568304992375,-1739.0811152529773,-1980.4866752602256,-1708.2959408485544,-1341.5396523514974,-1798.2876040742067,-1626.0745889400891,-1623.350583463116,-1610.3370515970905,-1662.8907934159624,-1464.135987113732,-1735.5105740067506,-1981.8847971603432,-1699.1224187076887,-1336.093549651947,-1776.2046123860714,-1626.596874367076,-1618.4180584541195,-1605.0138028642127,-1643.6836696281684
1986,0.0,-1519.4198236781463,-1637.362987755554,-1862.5651268091933,-1819.8175655287191,-1411.5108205002848,-1673.3947068442694,-1644.428528740998,-1689.2737071518718,-1521.2060370536256,-1670.714950721207,-1482.5085525160748,-1639.0202605836503,-1870.9137883346389,-1798.5884460781435,-1402.7908948336913,-1661.5453935377882,-1646.6105191935485,-1690.2601082893634,-1513.7999452842855,-1649.9293737672447
1987,0.0,-1423.634582177372,-1661.7397994473326,-1870.3773513960748,-1819.0798192275588,-1385.4105501183767,-1756.6770428380796,-1546.060350858485,-1686.699060961314,-1442.0763854278189,-1712.1062087602163,-1389.3989720445866,-1658.7482672125598,-1886.6604601552076,-1797.9835449705865,-1383.153158987578,-1746.2280859041543,-1551.2309439929036,-1682.5874127697512,-1432.6792990570762,-1694.7990234857093
1988,0.0,-1472.7654920965156,-1745.6196378451173,-1879.332977755416,-1666.0051658299517,-1385.4650210468708,-1766.9012371863082,-1567.3089422727694,-1686.2350527866074,-1579.2913182889433,-1710.0979809630671,-1434.535446923332,-1751.8184778606542,-1881.7941437688376,-1652.687170504008,-1388.2877175222989,-1744.253531791242,-1565.4208659786682,-1687.0712496353308,-1566.186607518283,-1688.9134793680842
1989,0.0,-1512.54365505424,-1714.0811863079043,-1883.208877758931,-1788.4418464196697,-1375.1461201198872,-1673.4865738178078,-1590.6285328658669,-1759.5222754943761,-1542.642094602083,-1725.2134820311053,-1481.7714294074094,-1707.9478413190236,-1881.591401737685,-1770.908455493398,-1377.6439012118872,-1655.6063455365334,-1588.3935115858635,-1753.2047134485938,-1529.7900891143436,-1711.2724279018153
1990,0.0,-1556.092367443444,-1659.1644292962173,-1811.7902963710687,-1747.3461479877074,-1395.2074670812535,-1686.196290941934,-1820.65445949172,-1807.4352298646563,-1597.0252571673182,-1714.1867329007878,-1539.6320207494523,-1655.9911630748438,-1822.8606529962633,-1732.8193159962425,-1389.426364482439,-1681.6988569976606,-1818.086608874583,-1807.6829597028527,-1580.762560473774,-1696.91300282561
