day,mean,min,max,var
1,3.5867344324067444e-08,-2.540739664985069e-08,2.564149686252276e-07,pr
2,5.833706976115622e-08,-2.3785732095984304e-08,2.48081885372213e-07,pr
3,5.557107548559292e-08,-3.340392334707207e-08,2.503893801138072e-07,pr
4,2.2797230669572675e-08,-2.032810834911851e-08,2.276456868599219e-07,pr
5,5.5526182014054734e-08,-3.0950760408762893e-08,2.5602182215357674e-07,pr
6,4.705706646459512e-08,-3.181376804975416e-08,2.588507146650194e-07,pr
7,4.1809817128968714e-08,-5.127244848940853e-08,2.54007677221499e-07,pr
8,7.803434612247142e-08,-2.5674337041943593e-08,2.5476054834512587e-07,pr
9,4.446553663163906e-08,-3.4575425798553285e-08,2.589462178505735e-07,pr
10,7.684723846985396e-08,-2.5265065385364342e-08,2.514743372252239e-07,pr
11,5.0884446377938144e-08,-6.080987568962492e-09,2.5045033255558025e-07,pr
12,4.102823648740925e-08,-3.879429572298083e-08,2.5866131191892625e-07,pr
13,3.829206510677383e-08,-3.787401927708249e-08,2.559084875496335e-07,pr
14,4.175238105502991e-08,-2.9386050713598985e-08,2.518803314831819e-07,pr
15,4.6608308055606696e-08,-2.0764440665283617e-08,2.4340023912285423e-07,pr
16,3.123458949428855e-08,-2.8184190229732187e-08,2.3318921011329386e-07,pr
17,3.437066886999831e-08,-3.21137260519209e-08,2.435747348068079e-07,pr
18,5.3573381796308636e-08,-3.751685959302951e-08,2.5702302765593827e-07,pr
19,5.6027065693416475e-08,-2.150669906685677e-08,2.388083553951833e-07,pr
20,4.0987260710542884e-08,-3.8991880908579146e-08,2.3612216711062075e-07,pr
21,4.8456131643639034e-08,-4.366318927294869e-08,2.5421796727828843e-07,pr
22,2.670267458406603e-08,-3.204358880415228e-08,2.5044021432254776e-07,pr
23,7.419661088806948e-08,-1.4402313635168243e-08,2.5884248238896924e-07,pr
24,4.7300086321881686e-08,-3.5959604006216373e-08,2.422161728390874e-07,pr
25,2.7560999289002024e-08,-2.9457672264205375e-08,2.479169137196671e-07,pr
