year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,3253.846402794123,2130.7768887077723,2090.1606366994533,1887.9292243440157,2002.1247392621017,2258.8944191983974,2092.6540973817446,2107.337044829065,1986.1781441288488,2225.9974691750413,1985.5807521185825,2130.7768887077723,2090.160636844499,1887.9292241989697,2002.1247392621017,2258.8944190533516,2092.654097526791,2107.337044829065,1986.1781441288488,2225.9974691750413,1985.5807521622871
1982,3398.239090919495,2245.521684214466,2043.4118393996187,1782.0414656583087,1986.1543780567174,2289.8647448100796,2041.0783209666479,2005.1414951052118,2106.4690790341097,2196.825196140342,1984.5939249718854,2245.521684214466,2043.4118397373377,1782.0414653205899,1986.1543780567174,2289.864744472361,2041.0783213043662,2005.1414951052118,2106.4690790341097,2196.825196140342,1984.5939232923815
1983,3252.0620994567876,2153.6217679399956,2086.4027736013213,1695.373611058062,2021.1868749703376,2229.0116986092207,2011.1353244371992,2042.9935821990641,2046.5561099040797,2194.744014260126,2010.4452268146913,2153.6217679399956,2086.4027735148893,1695.3736111444941,2021.1868749703376,2229.0116986956527,2011.135324350767,2042.9935821990641,2046.5561099040797,2194.744014260126,2010.4452275620092
1984,3336.7231652736664,2210.3586203963314,2111.3186525781807,1906.3988965163549,1989.717599234992,2284.5198544535747,2115.853769690688,2196.2479436929534,2034.834777931275,2169.5789013894832,2140.626681562065,2210.3586203963314,2111.318652370131,1906.3988967244045,1989.717599234992,2284.519854661625,2115.8537694826377,2196.2479436929534,2034.834777931275,2169.5789013894832,2140.6266805638274
1985,3422.9673696160316,2157.6080988598765,2122.538211881282,1916.0361238992223,2082.981517440661,2204.7458244252643,2118.3005299537185,2126.9513871214895,2067.7278115051013,2253.0331947305103,1992.0409952117348,2157.6080988598765,2122.538211689473,1916.036124091032,2082.981517440661,2204.7458246170736,2118.300529761909,2126.9513871214895,2067.7278115051013,2253.0331947305103,1992.0409950128571
1986,3430.294937759638,2204.562306590398,2080.4294314179338,1903.0018144173598,2128.0458487896417,2296.6077029160874,2015.290130665689,2113.544481705703,2127.7519496471086,2215.9870502364315,2013.2009345659053,2204.562306590398,2080.4294308540398,1903.0018149812545,2128.0458487896417,2296.607703479982,2015.2901301017948,2113.544481705703,2127.7519496471086,2215.9870502364315,2013.200933764094
1987,3211.1952310204506,2149.0622306041605,2082.7463751598953,1869.2846918230582,2135.936627655265,2278.402712925396,2127.065680106172,2041.170128991608,2087.1805068688964,2149.805325399801,2086.5796702507746,2149.0622306041605,2082.7463741185657,1869.2846928643874,2135.936627655265,2278.402713966726,2127.0656790648427,2041.170128991608,2087.1805068688964,2149.805325399801,2086.5796709587335
1988,3430.5664646327496,2154.316996314874,2159.3249940121887,1857.5156071929048,2055.0520631910144,2223.2678721265124,2091.4430591361925,2049.661171227996,2076.754789214511,2238.3123135154538,2029.157889792304,2154.316996314874,2159.324993239762,1857.5156079653314,2055.0520631910144,2223.267872898939,2091.4430583637654,2049.661171227996,2076.754789214511,2238.3123135154538,2029.15788996474
1989,3249.3998088538647,2186.8204543561656,2115.3697447127256,1871.5032663780867,2100.475823957516,2251.259193577763,2023.651295638401,2152.1475802764344,2133.1533767265914,2142.8214299187493,2004.6208910002003,2186.8204543561656,2115.3697440843634,1871.5032670064488,2100.475823957516,2251.2591942061254,2023.651295010039,2152.1475802764344,2133.1533767265914,2142.8214299187493,2004.6208915306272
1990,3418.4276962280273,2191.3178479930502,2069.341226810745,1814.8815945868046,2087.281925105678,2250.5890716009862,2022.9010577871568,2209.7679166558555,2192.2789473144344,2251.811744738126,2020.1403455665015,2191.3178479930502,2069.341227196578,1814.881594200972,2087.281925105678,2250.5890712151536,2022.90105817299,2209.7679166558555,2192.2789473144344,2251.811744738126,2020.14034595784
