year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-777.7260529111868,-930.511949091702,-1277.9101288365678,-1008.5076304163376,-690.6885271534015,-996.7526223004506,-927.3773462001211,-875.0797387436094,-820.3353690102422,-1013.6584752363119,-754.2538519124669,-934.3432029884414,-1279.975424989459,-1001.2228232048328,-680.2237315349344,-990.5557523574389,-923.5114893042974,-876.3983343248458,-817.9370804326163,-1003.433291240965
1982,0.0,-914.9323011267252,-910.1894802694487,-1232.0066360105466,-960.7144716266102,-705.7553216399315,-963.8503028423363,-829.7240371474802,-991.0392948957931,-791.0042815351649,-1017.5864795441667,-893.1561265194127,-908.086838361422,-1239.4653368249615,-950.3432178061757,-702.1139241600558,-957.217541310966,-820.9513094066017,-991.4677106662523,-784.4458417264068,-1006.2924746849012
1983,0.0,-822.8632989202138,-952.9381186740868,-1197.1309815200277,-976.2711881196933,-635.2076620787416,-931.6038847124048,-890.4992268223841,-916.0046092394118,-779.8986582839038,-1032.89120294167,-797.5337424170252,-954.2108331173674,-1203.1899163343785,-962.0689338826505,-642.5919178350009,-927.4489376763843,-884.4353778670022,-917.9184325284782,-778.2273823023065,-1011.8695752826895
1984,0.0,-832.2904839721973,-936.0357807293431,-1258.6349751031344,-963.7334194464183,-745.0262840915752,-1078.608337073781,-976.3691860835866,-888.4238327172015,-780.5923821792544,-1048.6397544547604,-815.8708785281547,-933.1855094794332,-1257.973875659709,-953.5511256795876,-736.5892674700372,-1069.3731392758746,-969.1301161484716,-892.1717301963495,-783.5735650760353,-1032.4523291711107
1985,0.0,-819.6747943626424,-957.429140090117,-1298.6983121333258,-1010.6900637923943,-639.8218377054136,-1006.9672074628188,-931.1114385413782,-914.1738890618763,-857.2288681122573,-1018.2183511094393,-798.352708512823,-952.7934468724375,-1301.2767913013324,-992.7300437496126,-639.4370801537825,-996.3067834145527,-921.5902635508585,-912.2223768504846,-856.6655451438273,-1007.6912295965355
1986,0.0,-838.1807158305019,-902.5645332519418,-1273.8578457866588,-1074.3197409662303,-728.4829242849228,-913.8481839869498,-926.3236889695536,-958.1791736434045,-811.1133933928118,-1049.2104313879433,-816.9548432524389,-901.8638005293171,-1270.6543270502966,-1059.8906160855772,-719.0971117604122,-909.2312277597741,-919.9886437466312,-958.1288759499187,-811.0832594192111,-1025.7821999478385
1987,0.0,-791.1617615931705,-944.3890820241675,-1266.6556678986442,-1059.2316213157205,-682.5887104512576,-1028.4171502333297,-901.1513725562811,-953.9397379606182,-772.2060732049013,-1000.8573929470933,-776.9515345379705,-938.9543531891434,-1277.1750040475142,-1042.964845257207,-682.5450809634067,-1022.257627790661,-892.0324014064404,-948.4465929217101,-769.2663392035693,-982.7406170559432
1988,0.0,-799.9743616203059,-1019.2644018774904,-1254.1539563566218,-975.1579483811636,-686.6573904541742,-1008.7443581851903,-880.8352728203558,-939.8803262252543,-835.2677111103462,-977.8199768889419,-779.5411101837749,-1013.6728471898905,-1248.557720569909,-961.2798365229544,-680.7013458679803,-998.7866110987839,-873.8983173907011,-940.028613453627,-825.0325854328821,-964.1975822981833
1989,0.0,-835.0844324277914,-973.2094608663892,-1213.6678389623467,-1038.360140075618,-689.943669553083,-941.0073172132538,-930.347419311905,-938.201508119193,-756.5366209535564,-1032.11021379838,-819.452970777329,-968.4179750057215,-1215.4372327806786,-1024.740361022859,-690.2025644172695,-933.7262404908392,-922.0300933284043,-938.6968061251805,-753.2651452205287,-1019.7864489820583
1990,0.0,-867.6224309520962,-930.722579213653,-1206.3525600122077,-1011.712714702132,-685.5736759489937,-971.4367719875486,-1021.9329165408221,-1008.166281789217,-831.1103580560762,-1068.217825201079,-847.4335205146876,-929.6417142711073,-1205.6684243910183,-1003.6377689146043,-680.9890877541711,-968.786596216235,-1012.7782386497897,-1007.1470359019227,-828.8719806087229,-1053.4802434441567
